Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4Opt;1;ExecutionTimeSecs;0.016013124
SQLSIBenchmarkExecutor;vgu200;Query4Opt;1;ExecutionTimeSecs;0.005886848
SQLSIBenchmarkExecutor;vgu300;Query4Opt;1;ExecutionTimeSecs;0.014455664
SQLSIBenchmarkExecutor;vgu400;Query4Opt;1;ExecutionTimeSecs;0.015156742
SQLSIBenchmarkExecutor;vgu500;Query4Opt;1;ExecutionTimeSecs;0.015960405
SQLSIBenchmarkExecutor;vgu600;Query4Opt;1;ExecutionTimeSecs;0.016933148
SQLSIBenchmarkExecutor;vgu700;Query4Opt;1;ExecutionTimeSecs;0.016857111
SQLSIBenchmarkExecutor;vgu800;Query4Opt;1;ExecutionTimeSecs;0.019091212
SQLSIBenchmarkExecutor;vgu900;Query4Opt;1;ExecutionTimeSecs;0.020362475
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;1;ExecutionTimeSecs;0.019111736
SQLSIBenchmarkExecutor;vgu100;Query4Opt;2;ExecutionTimeSecs;0.013478382
SQLSIBenchmarkExecutor;vgu200;Query4Opt;2;ExecutionTimeSecs;0.00678986
SQLSIBenchmarkExecutor;vgu300;Query4Opt;2;ExecutionTimeSecs;0.011815174
SQLSIBenchmarkExecutor;vgu400;Query4Opt;2;ExecutionTimeSecs;0.012097644
SQLSIBenchmarkExecutor;vgu500;Query4Opt;2;ExecutionTimeSecs;0.015799795
SQLSIBenchmarkExecutor;vgu600;Query4Opt;2;ExecutionTimeSecs;0.008544476
SQLSIBenchmarkExecutor;vgu700;Query4Opt;2;ExecutionTimeSecs;0.0179093
SQLSIBenchmarkExecutor;vgu800;Query4Opt;2;ExecutionTimeSecs;0.019302488
SQLSIBenchmarkExecutor;vgu900;Query4Opt;2;ExecutionTimeSecs;0.020042672
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;2;ExecutionTimeSecs;0.020878591
SQLSIBenchmarkExecutor;vgu100;Query4Opt;3;ExecutionTimeSecs;0.013728112
SQLSIBenchmarkExecutor;vgu200;Query4Opt;3;ExecutionTimeSecs;0.004986885
SQLSIBenchmarkExecutor;vgu300;Query4Opt;3;ExecutionTimeSecs;0.014584556
SQLSIBenchmarkExecutor;vgu400;Query4Opt;3;ExecutionTimeSecs;0.015394102
SQLSIBenchmarkExecutor;vgu500;Query4Opt;3;ExecutionTimeSecs;0.009022663
SQLSIBenchmarkExecutor;vgu600;Query4Opt;3;ExecutionTimeSecs;0.017346221
SQLSIBenchmarkExecutor;vgu700;Query4Opt;3;ExecutionTimeSecs;0.019021878
SQLSIBenchmarkExecutor;vgu800;Query4Opt;3;ExecutionTimeSecs;0.019995944
SQLSIBenchmarkExecutor;vgu900;Query4Opt;3;ExecutionTimeSecs;0.020035545
SQLSIBenchmarkExecutor;vgu1000;Query4Opt;3;ExecutionTimeSecs;0.021299067
SQLSIBenchmarkExecutor;vgu100;Query4Opt;4;ExecutionTimeSecs;0.013606366
SQLSIBenchmarkExecutor;vgu200;Query4Opt;4;ExecutionTimeSecs;0.013581694
SQLSIBenchmarkExecutor;vgu300;Query4Opt;4;ExecutionTimeSecs;0.008253866
SQLSIBenchmarkExecutor;vgu400;Query4Opt;4;ExecutionTimeSecs;0.015449072
SQLSIBenchmarkExecutor;vgu500;Query4Opt;4;ExecutionTimeSecs;0.016019479
SQLSIBenchmarkExecutor;vgu600;Query4Opt;4;ExecutionTimeSecs;0.01699962
