Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query5Opt;1;ExecutionTimeSecs;0.044275677
SQLSIBenchmarkExecutor;vgu200;Query5Opt;1;ExecutionTimeSecs;0.12711322
SQLSIBenchmarkExecutor;vgu300;Query5Opt;1;ExecutionTimeSecs;0.269994281
SQLSIBenchmarkExecutor;vgu400;Query5Opt;1;ExecutionTimeSecs;0.469949985
SQLSIBenchmarkExecutor;vgu500;Query5Opt;1;ExecutionTimeSecs;0.726585145
SQLSIBenchmarkExecutor;vgu600;Query5Opt;1;ExecutionTimeSecs;1.056386109
SQLSIBenchmarkExecutor;vgu700;Query5Opt;1;ExecutionTimeSecs;1.431880567
SQLSIBenchmarkExecutor;vgu800;Query5Opt;1;ExecutionTimeSecs;1.862886275
SQLSIBenchmarkExecutor;vgu900;Query5Opt;1;ExecutionTimeSecs;2.384385056
SQLSIBenchmarkExecutor;vgu1000;Query5Opt;1;ExecutionTimeSecs;2.986295202
SQLSIBenchmarkExecutor;vgu100;Query5Opt;2;ExecutionTimeSecs;0.044987112
SQLSIBenchmarkExecutor;vgu200;Query5Opt;2;ExecutionTimeSecs;0.120538279
SQLSIBenchmarkExecutor;vgu300;Query5Opt;2;ExecutionTimeSecs;0.269503337
SQLSIBenchmarkExecutor;vgu400;Query5Opt;2;ExecutionTimeSecs;0.467064494
SQLSIBenchmarkExecutor;vgu500;Query5Opt;2;ExecutionTimeSecs;0.725309176
SQLSIBenchmarkExecutor;vgu600;Query5Opt;2;ExecutionTimeSecs;1.048462657
SQLSIBenchmarkExecutor;vgu700;Query5Opt;2;ExecutionTimeSecs;1.407574698
SQLSIBenchmarkExecutor;vgu800;Query5Opt;2;ExecutionTimeSecs;3.410327948
SQLSIBenchmarkExecutor;vgu900;Query5Opt;2;ExecutionTimeSecs;4.326387883
SQLSIBenchmarkExecutor;vgu1000;Query5Opt;2;ExecutionTimeSecs;5.376231059
SQLSIBenchmarkExecutor;vgu100;Query5Opt;3;ExecutionTimeSecs;0.044934199
SQLSIBenchmarkExecutor;vgu200;Query5Opt;3;ExecutionTimeSecs;0.119674574
SQLSIBenchmarkExecutor;vgu300;Query5Opt;3;ExecutionTimeSecs;0.271090681
SQLSIBenchmarkExecutor;vgu400;Query5Opt;3;ExecutionTimeSecs;0.470509354
SQLSIBenchmarkExecutor;vgu500;Query5Opt;3;ExecutionTimeSecs;0.729962067
SQLSIBenchmarkExecutor;vgu600;Query5Opt;3;ExecutionTimeSecs;1.058981312
SQLSIBenchmarkExecutor;vgu700;Query5Opt;3;ExecutionTimeSecs;2.58097295
SQLSIBenchmarkExecutor;vgu800;Query5Opt;3;ExecutionTimeSecs;3.413375714
SQLSIBenchmarkExecutor;vgu900;Query5Opt;3;ExecutionTimeSecs;4.355148395
SQLSIBenchmarkExecutor;vgu1000;Query5Opt;3;ExecutionTimeSecs;5.408560216
SQLSIBenchmarkExecutor;vgu100;Query5Opt;4;ExecutionTimeSecs;0.04523747
SQLSIBenchmarkExecutor;vgu200;Query5Opt;4;ExecutionTimeSecs;0.126262692
SQLSIBenchmarkExecutor;vgu300;Query5Opt;4;ExecutionTimeSecs;0.266218001
SQLSIBenchmarkExecutor;vgu400;Query5Opt;4;ExecutionTimeSecs;0.840741798
SQLSIBenchmarkExecutor;vgu500;Query5Opt;4;ExecutionTimeSecs;1.30520695
SQLSIBenchmarkExecutor;vgu600;Query5Opt;4;ExecutionTimeSecs;1.894874388
SQLSIBenchmarkExecutor;vgu700;Query5Opt;4;ExecutionTimeSecs;2.564858658
SQLSIBenchmarkExecutor;vgu800;Query5Opt;4;ExecutionTimeSecs;3.382801159
SQLSIBenchmarkExecutor;vgu900;Query5Opt;4;ExecutionTimeSecs;2.384935423
SQLSIBenchmarkExecutor;vgu1000;Query5Opt;4;ExecutionTimeSecs;3.057591471
SQLSIBenchmarkExecutor;vgu100;Query5Opt;5;ExecutionTimeSecs;0.044341129
SQLSIBenchmarkExecutor;vgu200;Query5Opt;5;ExecutionTimeSecs;0.120838295
SQLSIBenchmarkExecutor;vgu300;Query5Opt;5;ExecutionTimeSecs;0.26914726
SQLSIBenchmarkExecutor;vgu400;Query5Opt;5;ExecutionTimeSecs;0.459128328
SQLSIBenchmarkExecutor;vgu500;Query5Opt;5;ExecutionTimeSecs;0.727482413
SQLSIBenchmarkExecutor;vgu600;Query5Opt;5;ExecutionTimeSecs;1.911812361
SQLSIBenchmarkExecutor;vgu700;Query5Opt;5;ExecutionTimeSecs;1.428169373
SQLSIBenchmarkExecutor;vgu800;Query5Opt;5;ExecutionTimeSecs;1.892551442
SQLSIBenchmarkExecutor;vgu900;Query5Opt;5;ExecutionTimeSecs;2.425482845
SQLSIBenchmarkExecutor;vgu1000;Query5Opt;5;ExecutionTimeSecs;3.017220129
SQLSIBenchmarkExecutor;vgu100;Query5Opt;6;ExecutionTimeSecs;0.045073458
