Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;NativeQuery2;1;ExecutionTimeSecs;0.013425888
SQLSIBenchmarkExecutor;vgu200;NativeQuery2;1;ExecutionTimeSecs;0.00359341
SQLSIBenchmarkExecutor;vgu300;NativeQuery2;1;ExecutionTimeSecs;0.013396708
SQLSIBenchmarkExecutor;vgu400;NativeQuery2;1;ExecutionTimeSecs;0.018142962
SQLSIBenchmarkExecutor;vgu500;NativeQuery2;1;ExecutionTimeSecs;0.021251267
SQLSIBenchmarkExecutor;vgu600;NativeQuery2;1;ExecutionTimeSecs;0.027645098
SQLSIBenchmarkExecutor;vgu700;NativeQuery2;1;ExecutionTimeSecs;0.025644586
SQLSIBenchmarkExecutor;vgu800;NativeQuery2;1;ExecutionTimeSecs;0.03178222
SQLSIBenchmarkExecutor;vgu900;NativeQuery2;1;ExecutionTimeSecs;0.034497118
SQLSIBenchmarkExecutor;vgu1000;NativeQuery2;1;ExecutionTimeSecs;0.030887075
SQLSIBenchmarkExecutor;vgu100;NativeQuery2;2;ExecutionTimeSecs;0.012446835
SQLSIBenchmarkExecutor;vgu200;NativeQuery2;2;ExecutionTimeSecs;0.002422107
SQLSIBenchmarkExecutor;vgu300;NativeQuery2;2;ExecutionTimeSecs;0.003607777
SQLSIBenchmarkExecutor;vgu400;NativeQuery2;2;ExecutionTimeSecs;0.004831781
SQLSIBenchmarkExecutor;vgu500;NativeQuery2;2;ExecutionTimeSecs;0.006507761
SQLSIBenchmarkExecutor;vgu600;NativeQuery2;2;ExecutionTimeSecs;0.014592297
SQLSIBenchmarkExecutor;vgu700;NativeQuery2;2;ExecutionTimeSecs;0.024841576
SQLSIBenchmarkExecutor;vgu800;NativeQuery2;2;ExecutionTimeSecs;0.031351075
SQLSIBenchmarkExecutor;vgu900;NativeQuery2;2;ExecutionTimeSecs;0.040959356
SQLSIBenchmarkExecutor;vgu1000;NativeQuery2;2;ExecutionTimeSecs;0.035228382
