Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4;1;ExecutionTimeSecs;0.013240746
SQLSIBenchmarkExecutor;vgu200;Query4;1;ExecutionTimeSecs;0.010839532
SQLSIBenchmarkExecutor;vgu300;Query4;1;ExecutionTimeSecs;0.010844098
SQLSIBenchmarkExecutor;vgu400;Query4;1;ExecutionTimeSecs;0.010896431
SQLSIBenchmarkExecutor;vgu500;Query4;1;ExecutionTimeSecs;0.004318716
SQLSIBenchmarkExecutor;vgu600;Query4;1;ExecutionTimeSecs;0.012705012
SQLSIBenchmarkExecutor;vgu700;Query4;1;ExecutionTimeSecs;0.012209578
SQLSIBenchmarkExecutor;vgu800;Query4;1;ExecutionTimeSecs;0.010938097
SQLSIBenchmarkExecutor;vgu900;Query4;1;ExecutionTimeSecs;0.01256354
SQLSIBenchmarkExecutor;vgu1000;Query4;1;ExecutionTimeSecs;0.012701708
SQLSIBenchmarkExecutor;vgu100;Query4;2;ExecutionTimeSecs;0.013280216
SQLSIBenchmarkExecutor;vgu200;Query4;2;ExecutionTimeSecs;0.004257673
SQLSIBenchmarkExecutor;vgu300;Query4;2;ExecutionTimeSecs;0.012331084
SQLSIBenchmarkExecutor;vgu400;Query4;2;ExecutionTimeSecs;0.01089333
SQLSIBenchmarkExecutor;vgu500;Query4;2;ExecutionTimeSecs;0.012443506
SQLSIBenchmarkExecutor;vgu600;Query4;2;ExecutionTimeSecs;0.012442085
SQLSIBenchmarkExecutor;vgu700;Query4;2;ExecutionTimeSecs;0.012644885
SQLSIBenchmarkExecutor;vgu800;Query4;2;ExecutionTimeSecs;0.012548097
SQLSIBenchmarkExecutor;vgu900;Query4;2;ExecutionTimeSecs;0.002712262
SQLSIBenchmarkExecutor;vgu1000;Query4;2;ExecutionTimeSecs;0.010893729
SQLSIBenchmarkExecutor;vgu100;Query4;3;ExecutionTimeSecs;0.013170261
SQLSIBenchmarkExecutor;vgu200;Query4;3;ExecutionTimeSecs;0.004227126
SQLSIBenchmarkExecutor;vgu300;Query4;3;ExecutionTimeSecs;0.005194346
SQLSIBenchmarkExecutor;vgu400;Query4;3;ExecutionTimeSecs;0.010879596
SQLSIBenchmarkExecutor;vgu500;Query4;3;ExecutionTimeSecs;0.011202575
SQLSIBenchmarkExecutor;vgu600;Query4;3;ExecutionTimeSecs;0.010953623
SQLSIBenchmarkExecutor;vgu700;Query4;3;ExecutionTimeSecs;0.011044602
