Tool;Scenario;RunName;RunIndex;MetricName;MetricValue
SQLSIBenchmarkExecutor;vgu100;Query4;1;ExecutionTimeSecs;0.029844996
SQLSIBenchmarkExecutor;vgu200;Query4;1;ExecutionTimeSecs;0.043580934
SQLSIBenchmarkExecutor;vgu300;Query4;1;ExecutionTimeSecs;0.059736452
SQLSIBenchmarkExecutor;vgu400;Query4;1;ExecutionTimeSecs;0.082947558
SQLSIBenchmarkExecutor;vgu500;Query4;1;ExecutionTimeSecs;0.126375143
SQLSIBenchmarkExecutor;vgu600;Query4;1;ExecutionTimeSecs;0.151871191
SQLSIBenchmarkExecutor;vgu700;Query4;1;ExecutionTimeSecs;0.176064151
SQLSIBenchmarkExecutor;vgu800;Query4;1;ExecutionTimeSecs;0.235524632
SQLSIBenchmarkExecutor;vgu900;Query4;1;ExecutionTimeSecs;0.292122044
SQLSIBenchmarkExecutor;vgu1000;Query4;1;ExecutionTimeSecs;0.343503983
SQLSIBenchmarkExecutor;vgu100;Query4;2;ExecutionTimeSecs;0.009775207
SQLSIBenchmarkExecutor;vgu200;Query4;2;ExecutionTimeSecs;0.016208999
SQLSIBenchmarkExecutor;vgu300;Query4;2;ExecutionTimeSecs;0.024119937
SQLSIBenchmarkExecutor;vgu400;Query4;2;ExecutionTimeSecs;0.036546166
SQLSIBenchmarkExecutor;vgu500;Query4;2;ExecutionTimeSecs;0.05235669
SQLSIBenchmarkExecutor;vgu600;Query4;2;ExecutionTimeSecs;0.067919854
SQLSIBenchmarkExecutor;vgu700;Query4;2;ExecutionTimeSecs;0.09127741
SQLSIBenchmarkExecutor;vgu800;Query4;2;ExecutionTimeSecs;0.123358166
SQLSIBenchmarkExecutor;vgu900;Query4;2;ExecutionTimeSecs;0.154429784
SQLSIBenchmarkExecutor;vgu1000;Query4;2;ExecutionTimeSecs;0.183450337
SQLSIBenchmarkExecutor;vgu100;Query4;3;ExecutionTimeSecs;0.009797312
SQLSIBenchmarkExecutor;vgu200;Query4;3;ExecutionTimeSecs;0.034511523
SQLSIBenchmarkExecutor;vgu300;Query4;3;ExecutionTimeSecs;0.048007448
SQLSIBenchmarkExecutor;vgu400;Query4;3;ExecutionTimeSecs;0.071299962
SQLSIBenchmarkExecutor;vgu500;Query4;3;ExecutionTimeSecs;0.112286384
